year,mes,periodo,median,mean,max,variance,sd,sex,area_m2_ha,fruits_comp,fruits_comp_p
2011,Mar,p1,4,6.138554217,17,19.01397736,4.360501962,All,0.54487155,97.57462687,0.975746269
2011,Mar,p2,5,5.788732394,15,15.1749076,3.895498377,All,0.759232438,84.09090909,0.840909091
2011,Abr,p1,3,3.872881356,10,8.043531798,2.836112092,All,0.852459312,95.40540541,0.954054054
2011,Abr,p2,2,2.784053156,9,2.549878184,1.5968338,All,0.367645542,94.29198683,0.942919868
2011,May,p1,1,1.572327044,5,0.857528322,0.926028251,All,0.421401042,84.71794872,0.847179487
2011,May,p2,2,2.185483871,5,1.123351182,1.059882626,All,0.314776424,80.90692124,0.809069212
2011,Jun,p1,1,1.590361446,4,0.488686453,0.699061123,All,0.667837347,78.515625,0.78515625
2011,Jun,p2,1,1.267716535,3,0.276965379,0.526275004,All,0.584866097,79.87421384,0.798742138
2011,Jul,p1,1,2.009433962,5,2.018867925,1.420868722,All,0.12831334,75.2293578,0.752293578
2011,Jul,p2,2,1.75862069,4,0.523313815,0.723404323,All,0.090523161,61.90028222,0.619002822
2011,Ago,p1,2,1.890804598,5,1.196099927,1.093663535,All,0.154596995,70.90592334,0.709059233
2011,Ago,p2,3,3.871794872,13,8.783457403,2.963689829,All,0.28071924,64.03425309,0.640342531
2011,Sep,p1,1,2.453846154,10,6.528861061,2.555163608,All,0.379929837,67.9245283,0.679245283
2011,Sep,p2,4,4.207920792,9,4.386336634,2.094358287,All,0.43383519,59.58702065,0.595870207
2011,Oct,p1,2,5.31092437,13,19.317761,4.395197493,All,0.526946369,76.5578635,0.765578635
2011,Oct,p2,6,5.585365854,9,6.448780488,2.539444917,All,0.845989911,82.60869565,0.826086957
2011,Nov,p1,3,3.671641791,9,4.041746156,2.01040945,All,0.475744789,80.27613412,0.802761341
2011,Nov,p2,5,6.040723982,16,15.28469766,3.909564893,All,0.45929834,76.29382304,0.76293823
2011,Dic,p1,8,9,15,26.84210526,5.180936717,All,0.597801968,100,1
2011,Dic,p2,2,4.633333333,14,13.99888424,3.741508284,All,0.404321507,89.97821351,0.899782135
2012,Ene,p1,9,7.970930233,14,15.61903305,3.952092237,All,0.350806771,93.37016575,0.933701658
2012,Ene,p2,9,9.913194444,17,25.98198558,5.097252748,All,0.503086618,94.71698113,0.947169811
2012,Feb,p1,7,7.657534247,17,26.55777043,5.153423176,All,0.46836978,90.19607843,0.901960784
2012,Feb,p2,7,7.354497354,17,16.81299033,4.100364658,All,0.633937112,91.94499018,0.919449902
2012,Mar,p1,10,9.245283019,16,17.88098694,4.228591602,All,0.814590179,94.7826087,0.947826087
2012,Mar,p2,6,6.483146067,16,21.50255363,4.637084604,All,0.538519218,96.95945946,0.969594595
2012,Abr,p1,5,6.322115385,17,21.67912419,4.656084642,All,0.592387159,92.34608985,0.923460899
2012,Abr,p2,2,3.886567164,13,12.37631602,3.517998866,All,0.354782095,90.33189033,0.903318903
2012,May,p1,4,4.348130841,15,13.27664755,3.643713429,All,0.177239435,82.0035461,0.820035461
2012,May,p2,2,3.886315789,14,11.84358872,3.441451542,All,0.121050051,78.03030303,0.78030303
2012,Jun,p1,3,3.012987013,8,3.304518398,1.817833435,All,0.287172612,81.70347003,0.8170347
2012,Jun,p2,2,2,2,0,0,All,0.297022899,NA,NA
2012,Jul,p1,NA,NA,NA,NA,NA,All,0.52951622,NA,NA
2012,Jul,p2,NA,NA,NA,NA,NA,All,0.330452742,86.11111111,0.861111111
2012,Ago,p1,NA,NA,NA,NA,NA,All,0.225997728,62.94820717,0.629482072
2012,Ago,p2,NA,NA,NA,NA,NA,All,0.075538182,55.30201342,0.553020134
2012,Sep,p1,NA,NA,NA,NA,NA,All,0.072471946,67.695962,0.67695962
2012,Sep,p2,NA,NA,NA,NA,NA,All,0.15807999,71.21588089,0.712158809
2012,Oct,p1,NA,NA,NA,NA,NA,All,0.194387794,76.19047619,0.761904762
2012,Oct,p2,NA,NA,NA,NA,NA,All,0.251335115,NA,NA
2012,Nov,p1,NA,NA,NA,NA,NA,All,0.328633338,57.59312321,0.575931232
2012,Nov,p2,NA,NA,NA,NA,NA,All,0.778351576,78.45117845,0.784511785
2012,Dic,p1,NA,NA,NA,NA,NA,All,0.539667616,83.66533865,0.836653387
2012,Dic,p2,NA,NA,NA,NA,NA,All,0.501836653,77.14285714,0.771428571
2013,Ene,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2013,Ene,p2,3,4.130327869,11,13.02894001,3.609562301,All,0.311916187,94.18070444,0.941807044
2013,Feb,p1,2,3.213910761,11,5.805693227,2.409500618,All,0.299224216,89.77853492,0.897785349
2013,Feb,p2,2,3.011350738,10,7.138507378,2.671798529,All,0.335461458,88.38268793,0.883826879
2013,Mar,p1,3,3.8815427,10,10.37215541,3.220583085,All,0.418194644,91.52119701,0.91521197
2013,Mar,p2,1,2,9,2.444094488,1.56336,All,0.497131453,99.34640523,0.993464052
2013,Abr,p1,NA,NA,NA,NA,NA,All,0.725446398,87.81609195,0.87816092
