MO	Investigador	AVISTAJE	FOCAL_SAMPLE	ANIMAL_FOCAL	Especie	Anio	Date	Time	TOTAL	KU	KA	KI	KO	KK	PE	PL	PI	PA	BA	BO	BL	DL	DB	DN	DE	VI	VT	VN	RA	RK	KY	WA	PK	MO	NW	KL	AM	SAM	JM	IM	AF	SAF	JF	IF	AX	SAX	JX	IX	XX	TotalAM	TotalAF	TOTAL	tipo_subg
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	15:45	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	16:00	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	16:15	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	16:30	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	16:45	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	17:00	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	17:15	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	11:15	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	11:30	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	11:45	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	12:00	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	12:15	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
