year	mes	month	periodo	median	mean	max	variance	sd	n.dias	n.registros	medianf	meanf	maxf	variancef	sdf	medianm	meanm	maxm	variancem	sdm	area_m2	area_m2_ha	fruits_comp	fruits_comp_indiv	fruits_comp_q	area_m2_p	area_m2_np	area_m2_10g	avg_fis_rate	sd_fis	avg_fus_rate	sd_fus	p_M	sd_M	p_F	sd_F
2007	Nov	11	p2	4	4.63760218	12	9.160658716	3.026658011	11	367	4	3.504087193	6	3.602488743	1.898022324	1	1.517142857	7	4.651567745	2.156749347	2.387853181	0.454829177	75.51	0.761155996	79.71698113	0.260597145	2.127256037	0.603753302	0.283976206	0.284336798	0.229371361	0.170536073	0.25997578	0.303833526	0.74002422	0.303833526
2007	Dic	12	p1	10	8.318885449	14	12.80793416	3.578817424	9	323	5	5.309597523	10	6.282733688	2.506538188	4	3.009287926	5	2.493702286	1.579146062	2.184082911	0.416015793	NA	0.887857366	100	0.297165897	1.886917014	1.128627737	0.172739541	0.157288014	0.542510121	0.461538462	0.286436064	0.212845206	0.713563936	0.212845206
2007	Dic	12	p2	NA	NA	NA	NA	NA	0	0	NA	NA	10	6.282733688	2.506538188	4	3.009287926	5	2.493702286	1.579146062	2.567873099	0.489118686	NA	1	NA	0.289442234	2.278430865	1.235528224	NA	NA	NA	NA	NA	NA	NA	NA
2008	Ene	1	p1	4	5.780487805	14	30.92560976	5.561079909	3	41	3	3.658536585	9	12.2304878	3.497211433	1	2.12195122	5	5.059756098	2.249390161	NA	NA	NA	NA	96.13259669	NA	NA	NA	0.167327235	0.172908926	0.138550256	0.130442459	0.298510552	0.238767669	0.701489448	0.238767669
2008	Ene	1	p2	4.5	4.867816092	13	12.2187883	3.495538342	10	348	4	3.74137931	9	12.2304878	3.497211433	1	2.12195122	5	5.059756098	2.249390161	3.68496731	0.701898535	86.62	0.740860751	84.71760797	0.209321917	3.475645393	1.151163772	0.281942792	0.103797451	0.582192996	0.333362623	0.180099311	0.180510217	0.819900689	0.180510217
2008	Feb	2	p1	4	5.095121951	15	15.87112529	3.983858091	8	410	3	3.580487805	10	7.530180691	2.74411747	1	1.514634146	5	2.934993142	1.713182168	3.222276161	0.613766888	92.91	0.862811793	90.14844804	0.223098248	2.999177913	1.486428883	0.323973257	0.421117795	0.540337472	0.483797417	0.359794553	0.301860641	0.640205447	0.301860641
2008	Feb	2	p2	6	7.393728223	15	24.93884165	4.99388042	8	287	6	5.18466899	10	7.530180691	2.74411747	1	1.514634146	5	2.934993142	1.713182168	4.924409537	0.937982769	92.91	0.91340297	97.52252252	0.270274134	4.654135404	1.995574194	0.174287189	0.100589327	0.316884556	0.058601065	0.270075538	0.225201995	0.729924462	0.225201995
2008	Mar	3	p1	6	5.431707317	12	12.6566939	3.557624755	9	410	4	3.765853659	7	4.971936311	2.229783916	1	1.665853659	5	2.985872741	1.727967807	5.165845983	0.983970663	96.14	0.988126437	98.80597015	0.369045907	4.796800075	1.995151173	0.122137405	0.21154819	0.121674763	0.105375721	0.153463203	0.231202562	0.846536797	0.231202562
2008	Mar	3	p2	5	5.093548387	12	14.14332394	3.760761085	7	310	3	3.2	7	4.971936311	2.229783916	1	1.665853659	5	2.985872741	1.727967807	5.341096931	1.017351796	96.14	0.98961039	93.00699301	0.250395797	5.090701133	2.151975405	0.093521062	0.066781179	0.077786797	0.054026582	0.365135328	0.195314313	0.634864672	0.195314313
2008	Abr	4	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.028396005	0.767313525	87.91	0.93433647	75.25252525	0.211455192	3.816940813	1.595926106	0.253302253	0.315033334	0.428061172	0.029892742	0.478313031	0.399272036	0.521686969	0.399272036
2008	Abr	4	p2	4	4.317939609	10	7.267061939	2.695748864	10	563	3	2.676731794	NA	NA	NA	NA	NA	NA	NA	NA	3.562965861	0.678660164	87.91	0.91218638	89.30155211	0.10681142	3.456154442	1.021504136	0.212668471	0.24464698	0.305066653	0.175892919	0.29978678	0.302582555	0.70021322	0.302582555
2008	May	5	p1	0	1.00862069	8	5.618972981	2.370437297	8	232	0	0.590517241	6	1.913849082	1.383419344	0	0.418103448	4	1.196727123	1.093950238	3.179525371	0.60562388	80.16	0.90753833	85.27131783	0.240170633	2.939354739	1.311009421	0.266389965	0.100065691	0.404002951	0.173519294	0.459460486	0.409461267	0.540539514	0.409461267
2008	May	5	p2	2	1.696969697	4	0.815019263	0.902784173	11	528	1	1.015151515	6	1.913849082	1.383419344	0	0.418103448	4	1.196727123	1.093950238	1.122267424	0.213765224	80.16	0.763265306	79.64458805	0.368273754	0.753993671	0.431144566	0.198596978	0.216145762	0.097308489	0.143842992	0.302125506	0.434874623	0.697874494	0.434874623
2008	Jun	6	p1	1	1.430769231	5	1.15337132	1.073951265	9	325	1	0.8	2	0.314814815	0.561083608	0	0.630769231	3	0.968186135	0.983964499	1.061208671	0.202134985	74.84	0.887672028	84.48275862	0.2132297	0.847978971	0.641951782	0	0	0.076315789	0.096235706	0.246331237	0.26837302	0.753668763	0.26837302
2008	Jun	6	p2	2	2.030172414	6	1.165394355	1.079534323	8	464	1	0.961206897	2	0.314814815	0.561083608	0	0.630769231	3	0.968186135	0.983964499	0.804519822	0.153241871	74.84	0.81441425	71.30570758	0.356871575	0.447648247	0.552074364	0.241103116	0.187829181	0.258953266	0.208584461	0.527357811	0.464739426	0.472642189	0.464739426
2008	Jul	7	p1	1	1.510948905	6	1.810541005	1.345563453	3	137	1	1.189781022	3	0.316659511	0.562725075	0	0.321167883	3	0.837269214	0.91502416	2.584790168	0.492340984	76.75	0.687292567	77.11864407	0.359397969	2.225392199	0.678201542	0.142866162	0.084180061	0.178787879	0.145169005	0.037840136	0.131890576	0.962159864	0.131890576
2008	Jul	7	p2	2	1.816384181	5	1.000184056	1.000092024	10	354	1	1.751412429	3	0.316659511	0.562725075	0	0.321167883	3	0.837269214	0.91502416	1.036645818	0.197456346	76.75	0.812921245	76.46276596	0.2059037	0.830742117	0.537889789	0.109741374	0.111333206	0.149056057	0.12103331	0.026836158	0.110019755	0.973163842	0.110019755
2008	Ago	8	p1	1	1.846774194	5	1.304362022	1.142086696	8	248	1	1.310483871	4	0.895112316	0.946103755	0	0.536290323	5	1.213252579	1.101477453	0.778933899	0.148368362	54.6	0.750952957	61.13537118	0.164392267	0.614541632	0.377695254	0.186147976	0.067090994	0.211147976	0.035468339	0.139709596	0.184913557	0.860290404	0.184913557
2008	Ago	8	p2	2	2.843454791	11	4.018703724	2.004670478	11	741	1	1.695006748	4	0.895112316	0.946103755	0	0.536290323	5	1.213252579	1.101477453	1.723664513	0.32831705	54.6	0.659483593	48.59813084	0.157760805	1.565903708	0.554243992	0.202973115	0.21076731	0.347410467	0.32050303	0.337411802	0.369773994	0.662588198	0.369773994
2008	Sep	9	p1	4	3.692771084	15	16.8686747	4.107149218	5	166	2	2.554216867	10	10.95158817	3.309318385	0	1.138554217	5	3.380686382	1.838664293	1.449249442	0.276047513	87.07	0.595151299	87.07224335	0.149417811	1.299831632	0.309798817	0.152930403	0.053097762	0.278388278	0.259013473	0.434188034	0.481271895	0.565811966	0.481271895
2008	Sep	9	p2	NA	NA	NA	NA	NA	0	0	NA	NA	10	10.95158817	3.309318385	0	1.138554217	5	3.380686382	1.838664293	0.766410608	0.145982973	87.07	0.861710859	NA	0.155104952	0.611305656	0.309798817	NA	NA	NA	NA	NA	NA	NA	NA
2008	Oct	10	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.877789368	0.548150356	76.07	NA	89.63963964	0.182104929	2.695684439	1.903651353	0.281481481	0.020951312	0.214814815	0.115232216	0.153439153	0.20111227	0.846560847	0.20111227
2008	Oct	10	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.149289827	0.218912348	76.07	0.888911914	61	0.134362583	1.014927243	0.487018971	NA	NA	NA	NA	NA	NA	NA	NA
